,Words,Frequency,Tags
1077,everyday,5,VBP
1078,em,5,VB
1079,basically,5,RB
1080,passion,5,NN
1081,pero,5,NN
1082,quería',5,NN
1083,bunch,4,NN
1084,spittin',4,NN
1085,fiends,4,VBZ
1086,chillin',4,JJ
1087,juice,4,NN
1088,playin',4,NN
1089,birthday,4,NN
1090,turned,4,VBD
1091,war,4,NN
1092,raise,4,NN
1093,'fore,4,POS
1094,cool,4,JJ
1095,math,4,NN
1096,finesse,4,NN
1097,winter,4,NN
1098,cannot,4,NN
1099,boss,4,IN
1100,nice,4,JJ
1101,press,4,NN
1102,watchin',4,NN
1103,crowd,4,JJ
1104,thirty-three,4,JJ
1105,c's,4,NN
1106,neighbors,4,NNS
1107,you'll,4,VBP
1108,dollar,4,NN
1109,opp,4,NN
1110,lately,4,RB
1111,starts,4,VBZ
1112,conversation,4,NN
1113,bar,4,NN
1114,songs,4,NNS
1115,given,4,VBN
1116,wind,4,VBP
1117,stressin',4,JJ
1118,disagreements,4,NNS
1119,fiendin',4,VBP
1120,nut,4,JJ
1121,squirrel,4,NN
1122,suit,4,NN
1123,eat,4,NN
1124,py,4,NN
1125,beast,4,NN
1126,dreamin',4,NN
1127,ghost,4,NN
1128,rather,4,RB
1129,bottoms,4,JJ
1130,underneath,4,JJ
1131,hittin',4,NN
1132,mall,4,NN
1133,crack,4,NN
1134,toes,4,NNS
1135,sky,4,VBP
1136,born,4,JJ
1137,win,4,NNS
1138,confide,4,JJ
1139,weak,4,JJ
1140,flexin',4,NN
1141,hair,4,NN
1142,demon,4,JJ
1143,devil,4,NN
1144,bet,4,NN
1145,bringin',4,NN
1146,losin',4,VBZ
1147,slowly,4,RB
1148,dying,4,VBG
1149,deserve,4,NN
1150,connected,4,VBN
1151,games,4,NNS
1152,emotions,4,NNS
1153,bags,4,NNS
1154,vacation,4,NN
1155,wash,4,NN
1156,save,4,VBP
1157,replace,4,VB
1158,called,4,VBN
1159,skull,4,NN
1160,lucky,4,NN
1161,blinded,4,VBD
1162,giving,4,VBG
1163,waste,4,NN
1164,"""i",4,NNP
1165,tongue,4,NN
1166,jack,4,NN
1167,sack,4,NN
1168,very,4,RB
1169,jumpin',4,JJ
1170,rear,4,JJ
1171,layin',4,NN
1172,blowin',4,NN
1173,degrees,4,NNS
1174,seem,4,VBP
1175,wife,4,NN
1176,saturday,4,JJ
1177,runway,4,JJ
1178,jewelry,4,NN
1179,who's,4,NN
1180,flame,4,VBP
1181,small,4,JJ
1182,billion,4,CD
1183,beg,4,NNS
1184,you’re,4,RB
1185,nerve,4,VBP
1186,send,4,JJ
1187,rains,4,NNS
1188,pours,4,VBP
1189,rrr,4,JJ
1190,suckin',4,NN
1191,wildin',4,NN
1192,joe,4,NN
1193,friend,4,NN
1194,williams,4,VBZ
1195,goat,4,VBP
1196,mic,4,JJ
1197,county,4,NN
1198,d,4,NN
1199,hoppin',4,NN
1200,scary,4,JJ
1201,breaking,4,NN
1202,loves,4,NNS
1203,stranger,4,VBP
1204,booth,4,DT
1205,drinking,4,NN
1206,asked,4,VBD
1207,age,4,NN
1208,forest,4,JJS
1209,ears,4,NNS
1210,bm,4,VBP
1211,screws,4,NNS
1212,woke,4,VBD
1213,mm,4,JJ
1214,open,4,JJ
1215,dn,4,NN
1216,loving,4,VBG
1217,lettin',4,JJ
1218,rocking,4,VBG
1219,ngga,4,JJ
1220,nle,4,JJ
1221,choppa,4,NN
1222,scene,4,NN
1223,hip,4,NN
1224,vacay,4,NN
1225,carpet,4,NN
1226,lick,4,JJ
1227,vodka,4,NN
1228,finger,4,NN
1229,player,4,NN
1230,heat,4,NN
1231,half,4,NN
1232,killed,4,VBD
1233,haha,4,JJ
1234,wobble,4,JJ
1235,gobble,4,JJ
1236,truck-a,4,JJ
1237,wraith,4,NN
1238,blunt,4,NN
1239,chopsticks,4,NNS
1240,ton,4,NN
1241,shoes,4,NNS
1242,italian,4,JJ
1243,milan,4,NN
1244,bales,4,NNS
1245,bird,4,VBP
1246,seal,4,JJ
1247,stands,4,NNS
1248,that-that,4,JJ
1249,sight,4,JJ
1250,wheezy,4,NN
1251,push,4,NN
1252,cook,4,NN
1253,chalk,4,NN
1254,nonstop,4,JJ
1255,feelings,4,NNS
1256,miles,4,NNS
1257,friday,4,RB
1258,rover,4,VB
1259,floor-floor,4,JJ
1260,deal,4,NN
1261,prada,4,NN
1262,store,4,NN
1263,college,4,NN
1264,dropout,4,IN
1265,leg,4,JJ
1266,thicc,4,NN
1267,annoying,4,VBG
1268,table,4,JJ
1269,chick,4,NN
1270,along,4,IN
1271,quit,4,NN
1272,window,4,NN
1273,wondering,4,VBG
1274,quiet,4,JJ
1275,ready,4,JJ
1276,bread,4,NN
1277,equity,4,NN
1278,worry,4,VBP
1279,independent,4,JJ
1280,usual,4,JJ
1281,cocaine,4,NN
1282,bando,4,NN
1283,penthouse,4,NN
1284,pink,4,NN
1285,scared,4,VBD
1286,scrub,4,JJ
